sgRNA	Gene	PO1f_1	PO1f_2	PO1f_3	PO1f_Cas9_1	PO1f_Cas9_2	PO1f_Cas9_3
38466	YALI1_C16809g	449	770	870	536	41	281
37344	YALI1_B16277g	779	1422	1319	591	32	132
15437	YALI1_D04566g	281	94	364	0	0	0
28804	YALI1_E06843g	327	193	478	18	11	26
38550	YALI1_C18757g	75	21	186	30	6	11
35883	YALI1_A01732g	167	371	172	901	44	166
6280	YALI1_E38349g	435	392	461	640	63	333
38187	YALI1_C08938g	1082	391	492	24	2	8
40228	YALI1_D30474g	385	366	775	14	5	13
46156	YALI1_F03573g	385	316	322	295	28	77
40913	YALI1_E12793g	650	282	243	276	19	63
11351	YALI1_D03412g	278	379	783	687	47	358
12144	YALI1_A03289g	827	674	1032	718	51	299
44423	YALI1_E01865g	220	145	374	65	4	18
29988	YALI1_E36179g	121	137	266	0	0	0
33939	YALI1_C03374g	381	600	743	208	13	90
38509	YALI1_C17800g	154	242	495	1133	52	279
32793	YALI1_B02767g	318	179	350	83	5	31
44583	YALI1_E05709g	309	210	190	74	8	21
37131	YALI1_B10424g	283	707	279	138	9	46
34309	YALI1_C13973g	362	242	289	93	9	50
39509	YALI1_D11442g	585	783	924	23	13	36
18309	YALI1_E41893g	358	360	940	1743	145	588
8045	YALI1_A01905g	170	203	473	25	4	19
27116	YALI1_C32461g	333	279	449	101	4	42
20053	YALI1_D22208g	678	1379	2111	3766	254	1187
20523	YALI1_D35356g	1142	1232	2581	466	39	248
36592	YALI1_A19419g	414	344	304	212	15	27
14391	YALI1_C09094g	319	307	534	0	1	0
10619	YALI1_C16851g	455	488	1456	617	22	157
32056	YALI1_A06823g	247	98	493	202	6	45
28810	YALI1_E07099g	95	110	168	261	12	148
5970	YALI1_E31031g	442	1177	1784	491	54	199
4400	YALI1_D26808g	158	161	135	305	17	90
15161	YALI1_C30910g	676	586	998	151	33	34
24515	YALI1_A15053g	174	661	487	131	6	49
7027	YALI1_F16117g	391	587	906	23	2	21
23925	YALI1_A00032g	882	727	1741	2705	222	1115
84	Nontargeting	914	664	479	1542	141	506
29763	YALI1_E30815g	260	250	357	154	12	72
41987	YALI1_E38491g	244	251	371	1	0	0
18353	YALI1_F01456g	301	278	505	56	3	51
13974	YALI1_B27874g	979	876	1037	9	1	6
46470	YALI1_F11878g	41	171	266	85	2	17
23286	YALI1_F27237g	601	494	1470	99	15	62
22950	YALI1_F18122g	598	445	916	252	30	84
10707	YALI1_C18872g	277	630	632	232	28	105
20193	YALI1_D26006g	375	282	1055	344	15	153
41438	YALI1_E25364g	705	603	527	74	4	96
11045	YALI1_C29344g	68	4	17	267	10	41
11673	YALI1_D11722g	232	291	401	310	32	111
19018	YALI1_F17962g	591	352	965	1260	109	431
34427	YALI1_C17050g	652	871	1187	1870	169	764
40802	YALI1_E09705g	406	342	628	248	20	110
25187	YALI1_B09161g	272	367	540	572	29	214
22146	YALI1_E39335g	485	488	1310	434	25	150
10320	YALI1_C08197g	1187	1050	1861	476	67	184
12421	YALI1_A09919t	1102	1631	2017	468	59	257
46688	YALI1_F16702g	158	182	334	0	0	0
30092	YALI1_E38640g	271	363	584	28	2	5
21745	YALI1_E29535g	36	87	94	29	1	7
24949	YALI1_B03021g	96	336	298	51	6	27
32788	YALI1_B02642g	311	486	630	640	50	269
27486	YALI1_D08594g	404	417	632	286	6	56
17851	YALI1_E30496g	570	622	730	269	20	141
5056	YALI1_E08382g	42	134	137	132	16	98
11127	YALI1_C31252g	160	177	85	97	7	20
5606	YALI1_E22262g	712	737	1252	1428	189	691
22123	YALI1_E38706g	775	579	877	52	1	22
4940	YALI1_E05489g	275	420	455	235	20	133
7970	YALI1_F39818g	677	286	359	46	4	66
871	YALI1_A18732g	211	354	481	51	2	11
25266	YALI1_B11532g	249	503	483	0	0	0
5499	YALI1_E19795g	135	312	313	154	19	69
15569	YALI1_D08205g	4666	5174	8752	1980	136	781
47016	YALI1_F25382g	81	204	441	69	1	11
29042	YALI1_E13677g	318	196	532	240	16	97
29755	YALI1_E30590g	363	473	794	214	16	114
16004	YALI1_D18833g	1805	2539	3266	11391	656	3205
14232	YALI1_C04672g	657	782	1603	2046	181	810
29449	YALI1_E23313g	692	488	1193	132	0	38
13664	YALI1_B19567g	584	350	1224	41	0	17
36565	YALI1_A18590g	598	420	597	231	6	24
19089	YALI1_F20086g	412	730	1265	102	4	35
41372	YALI1_E23824g	362	526	602	124	10	106
17311	YALI1_E17613g	980	1051	1576	3	3	22
36613	YALI1_A19924g	192	251	179	152	6	87
3352	YALI1_C33332g	415	288	848	296	25	117
19422	YALI1_F28915g	305	689	700	542	46	224
15352	YALI1_D02150g	716	527	1648	198	16	79
17907	YALI1_E31891g	455	512	663	186	21	51
18949	YALI1_F16451g	400	200	988	205	11	48
16364	YALI1_D28630g	1516	2029	3956	797	40	293
14033	YALI1_B29562g	683	1118	1770	546	15	80
36754	YALI1_B00719g	350	505	930	1117	94	482
28111	YALI1_D24546g	516	512	803	140	20	79
34494	YALI1_C18590g	173	146	554	0	2	1
2024	YALI1_B26749g	643	495	565	343	60	176
12567	YALI1_A14020g	689	922	1366	657	41	267
6618	YALI1_F06109g	725	498	788	460	20	261
34783	YALI1_C26873g	83	33	10	249	16	38
16084	YALI1_D21167g	429	378	610	1	3	5
37231	YALI1_B13355g	307	286	957	44	2	23
19953	YALI1_D19515g	447	301	937	577	26	159
38540	YALI1_C18584g	193	222	238	104	8	62
29749	YALI1_E30431g	195	212	395	335	23	111
47111	YALI1_F27871g	712	686	721	653	53	299
29420	YALI1_E22592g	583	474	400	388	30	140
33148	YALI1_B12204g	540	590	988	0	2	0
24334	YALI1_A10254g	1058	539	1237	2443	148	944
34910	YALI1_C30749g	1106	1002	2200	2012	154	585
36992	YALI1_B06704g	215	77	69	35	17	0
5470	YALI1_E19201g	770	204	285	0	0	0
3295	YALI1_C31971g	159	75	195	21	2	16
28744	YALI1_E05538g	398	488	554	72	14	46
28082	YALI1_D23730g	401	302	417	94	9	49
208	YALI1_A02443g	357	205	476	67	11	10
33100	YALI1_B10891g	241	185	273	114	8	27
34225	YALI1_C11694g	248	483	470	149	16	82
32407	YALI1_A15925g	189	251	199	36	4	5
38113	YALI1_C06724g	305	415	1150	118	7	31
20152	YALI1_D24961g	812	939	1756	338	19	161
6856	YALI1_F12312g	471	506	921	822	56	139
5794	YALI1_E26860g	486	603	1319	1193	115	615
11339	YALI1_D03061g	623	454	745	209	11	65
43292	YALI1_F30647g	64	104	65	0	0	6
38510	YALI1_C17820g	179	176	344	167	2	64
31941	YALI1_A04261g	179	81	453	165	18	72
43893	YALI1_D23265g	2147	2010	3340	5765	360	1995
184	YALI1_A01794g	249	244	368	134	9	41
42231	YALI1_F03693g	282	225	356	515	48	156
19950	YALI1_D19338g	509	863	662	176	14	35
19910	YALI1_D18130g	861	924	1892	2	2	4
15691	YALI1_D11114g	271	429	748	789	65	247
13935	YALI1_B26984g	1260	1018	2104	4701	349	1645
34150	YALI1_C09181g	314	170	520	160	14	48
46684	YALI1_F16600g	88	222	285	62	0	10
7351	YALI1_F24478g	93	245	310	154	4	22
46739	YALI1_F17797g	461	736	966	1741	104	569
24133	YALI1_A05407g	156	171	555	16	1	19
6733	YALI1_F09317g	634	656	1883	146	31	63
32598	YALI1_A20739g	160	114	336	46	5	22
8279	YALI1_A07418g	258	159	942	381	29	176
38231	YALI1_C10133g	550	220	348	81	10	49
5204	YALI1_E12711g	120	258	563	116	17	95
41127	YALI1_E17935g	658	920	996	409	12	37
43202	YALI1_F28212g	299	299	357	129	8	71
33850	YALI1_C00739g	92	360	138	7	0	0
25549	YALI1_B19205g	298	213	617	112	17	84
36478	YALI1_A16485g	160	196	276	506	44	190
18547	YALI1_F07042g	90	22	171	0	7	0
1872	YALI1_B22372g	593	334	390	84	9	42
8459	YALI1_A12403g	423	369	535	0	0	2
24913	YALI1_B02091g	241	257	478	20	0	0
17027	YALI1_E10443g	171	276	484	384	7	45
6521	YALI1_F03481g	103	272	791	704	39	210
37938	YALI1_C01843g	284	156	160	95	7	59
667	YALI1_A14024g	264	781	641	848	63	299
14299	YALI1_C06414g	265	273	405	381	25	151
7707	YALI1_F33572g	391	412	413	169	4	32
13326	YALI1_B10263g	168	129	136	6	0	8
46141	YALI1_F03269g	183	258	449	238	5	50
40886	YALI1_E12113g	189	315	182	346	12	160
19344	YALI1_F26860g	851	1129	2252	250	26	123
38196	YALI1_C09150g	210	411	475	71	5	32
14191	YALI1_C03550g	101	235	680	152	15	30
21262	YALI1_E18212g	462	721	960	256	38	163
40082	YALI1_D26316g	951	953	1216	738	59	413
42216	YALI1_F03337g	187	297	400	8	3	42
16460	YALI1_D31672g	102	92	82	96	3	36
45920	YALI1_E38640g	613	785	772	591	40	248
44990	YALI1_E16493g	78	237	179	88	4	21
36051	YALI1_A05836g	357	682	224	46	7	45
39609	YALI1_D13871g	445	609	536	806	59	296
17779	YALI1_E28545g	300	122	537	19	2	15
2627	YALI1_C13355g	287	405	644	38	2	31
21629	YALI1_E26987g	593	611	1450	367	48	237
20103	YALI1_D23653g	573	791	1361	487	41	127
37482	YALI1_B20052g	412	583	682	591	43	231
18173	YALI1_E38193g	279	211	484	168	11	120
37115	YALI1_B09931g	583	706	1128	399	41	196
12241	YALI1_A05662g	284	89	635	115	9	32
8766	YALI1_A19974g	112	208	194	5	1	0
25449	YALI1_B16446g	408	495	909	3	1	0
32067	YALI1_A07226g	558	223	183	503	37	297
1085	YALI1_B01568g	467	585	539	311	11	111
3421	YALI1_D01431g	201	205	523	112	8	55
45506	YALI1_E28491g	460	567	524	310	13	152
45060	YALI1_E18121g	244	359	249	85	0	5
22535	YALI1_F08635g	55	136	429	2	0	0
4368	YALI1_D26051g	1129	238	445	157	4	37
23434	YALI1_F31255g	30	0	0	0	0	0
19574	YALI1_F32698g	94	489	570	139	12	39
38656	YALI1_C21682g	322	214	461	11	8	1
45438	YALI1_E27144g	436	588	738	1713	84	587
25725	YALI1_B23622g	428	1129	1425	332	23	200
31198	YALI1_F25587g	362	420	921	711	57	346
20265	YALI1_D27844g	570	586	1358	584	53	277
3177	YALI1_C28895g	311	327	296	137	12	59
7821	YALI1_F36204g	119	135	201	0	2	14
30542	YALI1_F09481g	935	985	1998	2325	176	936
4165	YALI1_D20784g	324	416	1059	57	9	48
46283	YALI1_F07246g	281	321	441	127	9	68
39924	YALI1_D22124g	440	451	1425	219	10	118
12190	YALI1_A04385g	111	70	100	22	1	16
10482	YALI1_C13389g	296	541	597	3405	161	1040
39618	YALI1_D14156g	482	411	713	66	17	63
1996	YALI1_B25798g	798	593	755	27	5	2
22034	YALI1_E36692g	46	223	180	12	3	12
24655	YALI1_A18439g	95	163	42	659	44	214
41701	YALI1_E31697g	74	207	116	200	17	54
16496	YALI1_D32812g	197	214	321	279	36	78
19462	YALI1_F29911g	963	813	1188	224	27	113
13259	YALI1_B08575g	808	467	940	455	28	145
38385	YALI1_C14823g	354	374	693	1832	125	570
38743	YALI1_C24589g	872	845	676	699	37	447
6467	YALI1_F02008g	256	330	1024	111	12	20
26253	YALI1_C07758g	129	295	540	459	39	99
41759	YALI1_E33094g	447	342	554	7	9	41
6495	YALI1_F02855g	206	360	521	383	15	46
231	YALI1_A03029g	1118	1561	1717	3590	343	1215
3282	YALI1_C31549g	673	758	963	100	2	17
3622	YALI1_D07089g	167	190	66	8	0	2
42978	YALI1_F22674g	396	540	462	153	8	78
32508	YALI1_A18426g	92	42	176	240	23	74
24322	YALI1_A09919t	260	405	505	28	7	46
44642	YALI1_E07234g	541	870	1208	99	9	39
11965	Nontargeting	345	410	368	1571	82	387
40789	YALI1_E09381g	525	580	682	129	6	51
32620	YALI1_A21175g	138	312	508	695	48	248
4267	YALI1_D23377g	81	263	180	187	6	51
1364	YALI1_B08699g	511	563	824	179	14	121
40165	YALI1_D28569g	317	326	352	50	31	24
13402	YALI1_B12427g	314	311	504	905	73	355
4962	YALI1_E05929g	924	1292	937	0	1	3
43062	YALI1_F24578g	738	588	1095	1482	109	608
2324	YALI1_C04401g	340	370	763	450	36	183
17584	YALI1_E24120g	172	192	287	165	9	78
3499	YALI1_D03488g	845	1108	1624	371	40	221
35780	Nontargeting	95	524	276	1303	80	395
44632	YALI1_E06843g	176	244	379	705	64	277
4289	YALI1_D24069g	561	416	393	225	7	31
35167	YALI1_D03831g	610	851	1414	258	49	132
47398	YALI1_F34862g	911	1056	1266	564	23	159
47389	YALI1_F34675g	559	883	1233	68	1	18
16858	YALI1_E05811g	2102	1698	3167	719	33	261
16148	YALI1_D22834g	77	376	583	333	32	146
13020	YALI1_B02345g	208	391	783	35	0	0
10666	YALI1_C17949g	523	823	1387	760	60	237
2451	YALI1_C07758g	538	486	1182	200	17	59
974	YALI1_A21449g	686	1209	1698	375	29	123
11321	YALI1_D02563g	589	758	888	1507	104	486
35504	YALI1_D12483g	338	236	644	88	11	27
11529	YALI1_D08360g	387	480	1176	791	57	303
10229	YALI1_C05857g	363	362	561	723	41	252
31467	YALI1_F32554g	645	824	727	139	7	46
12257	YALI1_A06052g	771	735	1406	1443	112	422
31052	YALI1_F21769g	140	145	388	129	11	72
43305	YALI1_F31135g	219	300	345	328	23	96
43443	YALI1_F34202g	271	416	307	199	9	49
27379	YALI1_D05736g	364	293	857	91	9	43
28325	YALI1_D30420g	621	669	1075	1249	88	636
28135	YALI1_D25178g	470	361	566	1001	80	376
17117	YALI1_E12962g	74	7	155	0	1	0
41931	YALI1_E37157g	195	328	711	457	8	75
24191	YALI1_A06640g	366	453	1077	202	22	102
40605	YALI1_E04531g	201	217	443	217	21	124
45753	YALI1_E34826g	614	416	819	581	11	148
32210	YALI1_A11010g	92	219	569	66	6	34
26822	YALI1_C24081g	274	306	376	29	0	39
5511	YALI1_E20070g	219	374	518	58	11	63
5198	YALI1_E12561g	523	760	1145	840	76	344
39086	YALI1_D00487g	351	397	464	22	18	62
38829	YALI1_C26837g	412	733	793	1242	74	505
38901	YALI1_C29497g	251	215	640	220	6	71
2488	YALI1_C09033g	137	113	170	0	0	0
26362	YALI1_C11352g	455	427	751	984	75	335
41350	YALI1_E23313g	241	509	785	27	2	22
46309	YALI1_F07884g	222	178	119	276	12	81
2580	YALI1_C11925g	986	1036	1804	401	25	146
15908	YALI1_D16370g	944	1410	1899	1923	97	734
42129	YALI1_F00534g	408	422	787	131	13	55
23652	YALI1_F36267g	556	1030	1945	126	14	77
39224	YALI1_D04128g	236	444	728	348	22	78
41395	YALI1_E24318g	332	802	679	54	14	23
42627	YALI1_F13793g	195	221	220	136	14	78
4174	YALI1_D20985g	306	411	516	193	25	190
39479	YALI1_D10812g	303	629	319	111	16	29
46500	YALI1_F12578g	439	307	486	191	17	115
16765	YALI1_E03510g	674	981	1489	2837	178	938
14137	YALI1_C01847g	1280	1566	2558	462	20	152
33757	YALI1_B28766g	256	278	480	828	57	291
42044	YALI1_E39955g	189	88	391	235	20	63
29585	YALI1_E26492g	132	424	201	284	15	115
5900	YALI1_E29065g	1126	1763	2581	970	91	378
27637	YALI1_D12135g	534	381	886	271	18	73
25478	YALI1_B17299t	187	302	378	1038	76	389
26028	YALI1_C01590g	109	375	155	96	1	9
44630	YALI1_E06737g	485	405	904	239	27	148
4781	YALI1_E01530g	521	216	333	89	9	90
6978	YALI1_F15118g	549	1123	1921	92	18	38
317	YALI1_A05052g	340	131	324	532	24	129
3613	YALI1_D06756g	169	96	271	70	0	25
35231	YALI1_D05692g	552	645	1582	42	42	76
44995	YALI1_E16597g	618	852	1166	658	35	205
19241	YALI1_F24228g	427	257	642	50	3	5
10746	YALI1_C19909g	436	104	254	55	1	16
19257	YALI1_F24517g	258	313	523	110	23	65
14361	YALI1_C08017g	1828	1479	2791	662	44	238
13927	YALI1_B26790g	345	448	641	363	31	187
23216	YALI1_F25413g	84	64	194	5	3	5
8108	YALI1_A03507g	71	48	71	23	1	13
23706	YALI1_F37714g	140	293	583	88	10	46
12318	YALI1_A07318g	211	223	543	15	7	16
19519	YALI1_F31531g	262	152	434	1	0	0
44500	YALI1_E03651g	335	236	370	156	32	116
10325	YALI1_C08275g	175	426	591	439	14	120
37195	YALI1_B12204g	195	262	113	2	0	1
39218	YALI1_D03952g	439	432	570	2	0	4
22134	YALI1_E39128g	173	56	208	183	10	68
3458	YALI1_D02345g	55	130	54	136	19	45
20170	YALI1_D25337g	898	1345	1959	265	12	163
43744	YALI1_D19110g	413	485	242	0	2	0
14507	YALI1_C12755g	504	497	964	161	27	81
44066	YALI1_D27826g	936	619	699	2	1	0
26526	YALI1_C15776g	422	256	388	61	15	29
38402	YALI1_C15307g	596	752	866	103	6	44
36246	YALI1_A10672g	214	400	446	113	3	65
43104	YALI1_F25671g	800	184	304	49	2	25
40725	YALI1_E07471g	108	190	443	539	20	163
27216	YALI1_D01298g	411	430	566	1258	50	347
45439	YALI1_E27161g	529	532	350	851	54	257
164	YALI1_A01249g	472	709	1105	120	11	88
3	Nontargeting	174	238	327	894	72	412
25765	YALI1_B24901g	446	694	1012	2003	174	778
8555	YALI1_A14721g	416	416	838	149	10	78
15939	YALI1_D17181g	722	536	841	197	29	112
34827	YALI1_C28706g	649	1142	2221	3653	190	1008
20752	YALI1_E05074g	1226	1573	2358	765	30	259
12377	YALI1_A08835g	198	311	576	170	25	75
1081	YALI1_B01485g	257	274	411	133	12	51
23137	YALI1_F23414g	135	187	147	3	3	4
22038	YALI1_E36805g	1267	1365	2301	960	44	264
46117	YALI1_F02545g	744	536	663	342	21	78
35798	Nontargeting	300	648	382	1177	126	516
31799	YALI1_A00683g	377	334	679	31	8	9
36676	YALI1_A21420g	689	1032	746	1274	59	466
12088	YALI1_A01854g	989	1127	1681	3036	107	863
20741	YALI1_E04744g	2236	2208	3081	131	7	66
5168	YALI1_E11674g	252	309	314	40	3	10
32412	YALI1_A16028g	521	648	798	898	51	306
1328	YALI1_B07769g	44	149	46	0	0	0
29935	YALI1_E35012g	257	287	899	139	8	67
28102	YALI1_D24361g	2098	668	1393	74	9	17
25271	YALI1_B11625g	340	452	1458	216	23	73
41632	YALI1_E29840g	95	371	412	162	1	87
29363	YALI1_E21222g	167	182	465	238	3	124
19008	YALI1_F17756g	353	571	842	157	10	60
36556	YALI1_A18439g	489	741	960	296	33	115
30146	YALI1_E40032g	166	19	258	1	0	2
6415	YALI1_F00261g	253	254	504	14	7	40
27469	YALI1_D08186g	541	202	860	399	34	191
44761	YALI1_E10662g	361	337	646	322	31	85
43585	YALI1_F37775g	363	536	570	292	18	110
38697	YALI1_C23323g	525	676	1031	223	17	156
1864	YALI1_B22088g	789	698	1374	1170	61	451
36463	YALI1_A16121g	452	372	423	600	15	79
46564	YALI1_F14150g	1826	2839	3253	13215	621	3457
22124	YALI1_E38744g	350	622	1025	150	9	55
45874	YALI1_E37678g	148	148	301	64	9	57
25174	YALI1_B08868g	782	1735	2631	427	14	102
13897	YALI1_B25798g	313	69	157	17	0	1
31679	YALI1_F37694g	301	285	776	149	8	25
5221	YALI1_E13097g	265	284	557	398	46	217
3743	YALI1_D09956g	284	269	698	30	0	6
28811	YALI1_E07121g	617	577	1181	826	76	344
33190	YALI1_B13556g	748	335	1025	170	16	141
25389	YALI1_B14948g	255	272	659	62	2	12
26704	YALI1_C20078g	133	73	469	598	54	199
33199	YALI1_B13828g	511	459	564	131	12	146
32629	YALI1_A21420g	403	537	615	184	32	92
33328	YALI1_B17214g	476	400	726	187	16	39
31363	YALI1_F29911g	107	199	105	167	7	48
6879	YALI1_F12842g	309	320	441	10	0	5
35957	YALI1_A03507g	98	249	311	15	8	29
25938	YALI1_B29718g	216	262	284	444	60	283
45036	YALI1_E17527g	303	225	561	633	41	251
10877	YALI1_C24183g	555	390	667	122	13	113
45770	YALI1_E35118g	650	532	1187	1880	115	485
31259	YALI1_F27211g	574	644	970	556	65	304
2901	YALI1_C20054g	615	448	831	291	41	176
28650	YALI1_E03150g	338	254	1016	1789	131	851
19709	YALI1_F35868g	344	459	468	574	32	205
23317	YALI1_F28031g	739	424	709	790	68	271
8898	YALI1_B00539g	55	78	147	0	0	0
21724	YALI1_E28964g	2476	2878	4303	35	6	6
4556	YALI1_D31526g	346	1448	1571	154	13	94
10192	YALI1_C04853g	510	395	895	1004	72	420
46447	YALI1_F11313g	514	285	468	94	7	26
44707	YALI1_E09051g	346	196	408	537	26	191
25802	YALI1_B25952g	1017	1361	2035	4424	324	1230
42729	YALI1_F16069g	156	125	89	333	17	76
30675	YALI1_F12649g	246	162	138	90	10	34
8542	YALI1_A14390g	481	310	549	694	19	163
39017	YALI1_C32461g	286	129	330	157	6	56
3217	YALI1_C29920g	687	647	1609	105	13	29
45677	YALI1_E32868g	461	438	681	183	9	37
4873	YALI1_E03723g	228	240	426	49	1	12
20532	YALI1_D35593g	1466	1734	2019	1683	123	432
36736	YALI1_B00242g	367	557	680	1407	143	605
18109	YALI1_E36773g	96	82	194	4	3	1
19136	YALI1_F21453g	1001	1252	2179	349	8	79
27416	YALI1_D06788g	194	281	363	324	37	176
9108	YALI1_B05891g	409	154	304	170	8	82
45053	YALI1_E17920g	1029	732	1216	28	8	10
29033	YALI1_E13472g	335	150	350	29	0	2
23861	Nontargeting	449	421	343	1152	93	357
43991	YALI1_D25877g	308	299	516	182	18	83
47429	YALI1_F35690g	805	660	991	367	27	89
39000	YALI1_C32010g	256	525	458	19	9	21
39274	YALI1_D05474g	278	458	590	91	4	10
4536	YALI1_D30781g	126	33	45	0	1	0
3936	YALI1_D14532g	292	265	274	9	1	0
10636	YALI1_C17307g	331	368	1003	179	11	91
3578	YALI1_D05739g	272	317	741	699	35	99
7155	YALI1_F19153g	393	627	1131	191	9	71
5284	YALI1_E14584g	271	511	540	47	11	20
1100	YALI1_B01878g	1578	1590	3095	1025	59	244
13050	YALI1_B03043g	214	21	196	10	0	3
37040	YALI1_B07957g	229	420	414	1140	93	349
42905	YALI1_F20462g	74	216	426	275	10	116
12364	YALI1_A08512g	233	236	527	108	2	6
45079	YALI1_E18713g	139	191	338	173	31	64
36575	YALI1_A18752g	94	141	306	95	3	70
